Age,Gender_enc,Country,Current_Major,Opportunity_Duration,Apply_Lead_Days,Signup_Year,Signup_Month,engagement_score,churn
35,0,Bangladesh,Data Science,65,53,2024,12,8.05,1
20,1,Bangladesh,Computer Science,79,3,2025,2,13.73,0
18,0,Ghana,Information Systems,79,48,2024,7,10.82,0
20,1,United States,Information Systems,29,57,2025,6,5.02,1
28,0,United States,Business Analytics,74,83,2026,4,8.8,0
18,1,Ghana,Information Systems,23,65,2025,6,10.16,0
26,0,Ghana,Business Analytics,68,8,2025,12,10.84,0
29,0,Nigeria,Data Science,69,21,2025,9,7.11,0
19,0,United States,Computer Science,116,77,2026,5,1.49,0
25,1,Ghana,Information Systems,27,23,2024,9,1.4,0
25,1,Ghana,Information Systems,68,1,2024,10,9.49,0
25,1,Nigeria,Data Science,82,82,2025,1,11.84,0
26,0,Bangladesh,Data Science,74,53,2025,10,1.72,0
32,0,Ghana,Information Systems,16,60,2024,9,5.43,1
28,0,Nigeria,Information Systems,32,78,2025,10,14.85,0
30,1,Nigeria,Information Systems,27,42,2024,12,5.54,0
29,1,United States,Computer Science,22,74,2026,3,5.75,0
31,1,India,Data Science,69,49,2024,7,8.7,0
21,1,India,Cyber Security,17,43,2026,3,4.35,1
27,0,United States,Computer Science,81,27,2024,10,8.54,0
30,1,Ghana,Data Science,54,61,2025,9,6.53,0
18,0,Ghana,Computer Science,87,82,2025,3,1.07,0
35,1,United States,Data Science,58,79,2024,9,3.02,1
32,0,India,Cyber Security,24,2,2025,3,9.66,1
26,1,Ghana,Cyber Security,87,53,2025,6,14.71,0
28,1,United States,Cyber Security,32,47,2026,2,7.49,0
21,0,Ghana,Cyber Security,95,74,2025,11,9.05,0
19,1,India,Information Systems,53,11,2024,8,7.09,0
22,0,Ghana,Computer Science,105,38,2026,4,8.84,0
28,0,Ghana,Cyber Security,79,54,2024,9,6.53,0
19,1,India,Information Systems,59,50,2024,7,2.16,0
30,0,Nigeria,Information Systems,44,90,2025,7,7.19,0
34,1,Bangladesh,Data Science,80,60,2024,7,6.23,0
21,0,Nigeria,Business Analytics,53,50,2025,1,8.44,0
19,1,Bangladesh,Business Analytics,18,71,2026,2,5.7,1
23,1,Nigeria,Data Science,77,68,2024,6,7.36,0
29,1,Nigeria,Cyber Security,78,35,2025,12,3.34,0
22,0,United States,Information Systems,67,51,2026,1,8.86,0
29,0,Nigeria,Cyber Security,100,53,2025,1,14.05,0
26,1,Bangladesh,Computer Science,47,15,2025,11,6.52,1
30,1,United States,Cyber Security,61,39,2025,10,14.33,0
23,1,United States,Computer Science,90,1,2024,9,3.59,1
34,1,Nigeria,Information Systems,42,61,2024,9,8.3,0
34,1,Bangladesh,Data Science,72,69,2024,8,11.1,0
30,1,India,Computer Science,28,19,2026,3,14.97,0
20,0,Bangladesh,Business Analytics,81,3,2025,8,9.75,0
19,1,United States,Computer Science,86,38,2026,5,4.62,0
20,1,Ghana,Cyber Security,97,19,2024,9,3.85,0
23,1,Ghana,Business Analytics,43,81,2024,12,14.62,1
33,1,India,Information Systems,67,61,2025,11,6.55,0
25,0,India,Computer Science,56,76,2026,1,14.5,1
35,0,Nigeria,Information Systems,110,84,2025,9,1.3,0
26,0,United States,Business Analytics,54,0,2025,11,1.08,0
25,0,Ghana,Computer Science,38,55,2025,6,8.7,0
31,0,Bangladesh,Cyber Security,36,29,2026,4,11.75,1
25,1,United States,Data Science,82,74,2026,4,4.26,0
35,1,Nigeria,Information Systems,81,14,2025,4,13.54,0
26,1,India,Information Systems,42,72,2025,2,8.67,0
27,0,India,Information Systems,103,5,2024,9,11.94,0
19,0,United States,Cyber Security,78,12,2025,9,2.95,0
20,0,India,Data Science,102,89,2026,3,8.02,0
26,1,United States,Data Science,63,74,2026,3,9.79,0
19,1,Nigeria,Business Analytics,85,45,2024,12,11.22,0
35,1,India,Data Science,44,33,2026,4,12.97,0
22,0,India,Business Analytics,75,29,2025,9,9.91,1
27,1,United States,Computer Science,57,86,2025,7,9.4,0
32,0,Ghana,Data Science,10,31,2025,10,5.65,0
31,0,Bangladesh,Data Science,90,6,2024,12,14.32,0
27,0,United States,Information Systems,48,61,2024,12,12.86,1
24,1,United States,Business Analytics,76,69,2024,12,2.31,0
31,0,United States,Data Science,111,47,2025,6,12.16,1
18,1,Bangladesh,Business Analytics,113,81,2025,12,9.84,1
31,1,Nigeria,Computer Science,120,77,2025,11,7.84,0
21,0,Nigeria,Computer Science,85,31,2025,6,6.98,0
21,0,Ghana,Computer Science,106,36,2025,3,7.47,0
23,0,Bangladesh,Computer Science,113,46,2025,12,7.92,0
35,1,Nigeria,Cyber Security,40,72,2026,5,9.11,0
24,1,Nigeria,Business Analytics,15,80,2025,10,7.84,0
21,0,Ghana,Business Analytics,92,29,2026,4,9.99,1
18,1,India,Cyber Security,41,7,2025,8,13.13,0
27,0,Ghana,Business Analytics,14,86,2026,1,12.85,0
23,1,India,Cyber Security,115,86,2025,9,5.79,0
22,1,Bangladesh,Information Systems,115,57,2025,5,3.69,0
20,0,India,Cyber Security,93,64,2025,4,12.49,0
29,0,United States,Computer Science,48,41,2025,7,11.38,0
22,1,Bangladesh,Business Analytics,61,76,2025,7,5.55,0
